user_id;phone_number;phone_type
1;+7 504 621 8927;Городской
2;+7 810 292 9388;Городской
3;+7 856 636 8749;Городской
4;+7 907 385 4412;Мобильный
5;+7 513 570 1893;Городской
6;+7 419 503 2484;Городской
7;+7 773 573 6914;Городской
8;+7 408 752 3500;Городской
9;+7 605 414 2147;Городской
10;+7 410 655 8723;Городской
11;+7 215 874 1229;Городской
12;+7 631 335 3414;Городской
13;+7 310 498 5651;Городской
14;+7 440 780 8425;Городской
15;+7 956 537 6195;Мобильный
16;+7 602 277 4385;Городской
17;+7 931 313 9635;Мобильный
18;+7 414 661 9598;Городской
19;+7 313 288 7937;Городской
20;+7 815 828 2147;Городской
21;+7 610 545 3615;Городской
22;+7 408 540 1785;Городской
23;+7 972 303 9197;Мобильный
24;+7 518 966 7987;Городской
25;+7 732 658 3154;Городской
26;+7 715 662 6764;Городской
27;+7 913 388 2079;Мобильный
28;+7 410 669 1642;Городской
29;+7 212 582 4976;Городской
30;+7 936 336 3951;Мобильный
31;+7 614 801 9788;Городской
32;+7 505 977 3911;Городской
33;+7 201 709 6245;Городской
34;+7 732 924 7882;Городской
35;+7 212 860 1579;Городской
36;+7 504 979 9175;Городской
37;+7 212 675 8570;Городской
38;+7 805 832 6163;Городской
39;+7 210 812 9597;Городской
40;+7 785 463 7829;Городской
41;+7 541 548 8197;Городской
42;+7 913 413 4604;Мобильный
43;+7 907 231 4722;Мобильный
44;+7 305 606 7291;Городской
45;+7 907 741 1044;Мобильный
46;+7 952 768 2416;Мобильный
47;+7 617 399 5124;Городской
48;+7 323 453 2780;Городской
49;+7 608 336 7444;Городской
50;+7 215 907 9111;Городской
51;+7 212 402 9216;Городской
52;+7 931 875 6644;Мобильный
53;+7 803 925 5213;Городской
54;+7 610 814 5533;Городской
55;+7 908 877 6135;Мобильный
56;+7 516 968 6051;Городской
57;+7 215 934 8655;Городской
58;+7 818 423 4007;Городской
59;+7 401 458 2547;Городской
60;+7 215 211 9589;Городской
61;+7 401 960 8259;Городской
62;+7 732 234 1546;Городской
63;+7 512 486 3817;Городской
64;+7 303 724 7371;Городской
65;+7 414 748 1374;Городской
66;+7 212 674 9610;Городской
67;+7 907 797 9628;Мобильный
68;+7 814 393 5571;Городской
69;+7 410 914 9018;Городской
70;+7 208 862 5339;Городской
71;+7 415 315 2761;Городской
72;+7 919 225 9345;Мобильный
73;+7 650 528 5783;Городской
74;+7 925 647 3298;Мобильный
75;+7 740 343 8575;Городской
76;+7 585 866 8313;Городской
77;+7 410 520 4832;Городской
78;+7 973 354 2040;Мобильный
79;+7 773 446 5569;Городской
80;+7 973 927 3447;Мобильный
81;+7 505 975 8559;Городской
82;+7 718 332 6527;Городской
83;+7 904 775 4480;Мобильный
84;+7 510 993 3758;Городской
85;+7 216 657 7668;Городской
86;+7 817 914 7518;Городской
87;+7 310 774 7643;Городской
88;+7 847 728 7286;Городской
89;+7 330 537 5358;Городской
90;+7 215 255 1641;Городской
91;+7 650 803 1936;Городской
92;+7 626 572 1096;Городской
93;+7 254 782 8569;Городской
94;+7 907 870 5536;Мобильный
95;+7 408 703 8505;Городской
96;+7 510 503 7169;Городской
97;+7 317 722 5066;Городской
98;+7 307 704 8713;Городской
99;+7 703 235 3937;Городской
